Student_ID,Attendance,CAT_per,Assignment,FAT,Overall,Drop
1,82,37,9,32,34,Yes
2,62,52,8,60,50,No
3,88,48,9,77,44,Yes
4,52,65,10,72,62,Yes
5,66,54,7,61,74,No
6,90,60,6,100,62,No
7,99,84,5,70,99,No
8,51,90,7,26,50,Yes
9,44,93,10,42,98,Yes
10,89,77,7,22,81,No
11,87,81,5,78,66,No
12,59,36,7,58,48,Yes
13,85,70,7,32,78,No
14,49,65,9,22,81,Yes
15,99,86,6,23,47,Yes
16,52,87,7,47,51,Yes
17,66,58,9,79,65,No
18,62,55,6,88,55,No
19,85,66,8,97,37,Yes
20,55,85,5,41,68,Yes
21,71,32,7,32,81,Yes
22,83,92,7,47,93,No
23,85,88,10,90,75,No
24,74,73,10,98,35,Yes
25,73,41,7,95,92,Yes
26,71,68,5,80,30,Yes
27,58,66,9,64,91,Yes
28,71,96,10,93,30,Yes
29,97,81,8,99,91,No
30,81,74,5,77,30,Yes
31,98,82,8,71,40,Yes
32,93,37,6,38,59,Yes
33,100,44,7,59,37,Yes
34,59,52,6,84,49,Yes
35,62,100,10,39,46,Yes
36,92,53,9,44,58,No
37,92,75,7,74,93,No
38,64,36,5,69,38,Yes
39,91,84,8,86,81,No
40,50,89,6,70,86,Yes
41,84,67,5,67,66,No
42,67,59,10,21,45,Yes
43,42,79,8,78,67,Yes
44,41,55,6,54,66,Yes
45,89,64,7,30,68,No
46,98,60,10,60,70,No
47,64,91,7,54,83,No
48,89,67,7,61,53,No
49,85,63,8,92,36,Yes
50,73,44,7,41,82,Yes
51,88,81,9,29,51,No
52,67,93,8,63,62,No
53,59,39,7,96,47,Yes
54,91,52,10,38,99,No
55,83,89,8,66,41,Yes
56,42,45,6,74,44,Yes
57,89,90,8,99,39,Yes
58,68,75,6,21,59,No
59,55,73,6,50,31,Yes
60,92,53,5,47,100,No
61,100,62,9,87,65,No
62,88,82,7,55,78,No
63,84,79,9,38,99,No
64,71,77,6,68,76,No
65,73,50,8,70,71,No
66,44,85,7,27,84,Yes
67,78,47,5,36,69,Yes
68,99,34,5,92,64,Yes
69,40,43,9,85,56,Yes
70,96,42,10,91,77,Yes
71,52,88,8,46,69,Yes
72,78,46,9,57,58,Yes
73,68,99,9,39,33,Yes
74,41,62,5,72,59,Yes
75,69,79,5,59,66,No
76,56,80,8,61,100,Yes
77,77,50,10,79,61,No
78,67,56,5,81,37,Yes
79,68,65,8,41,89,No
80,50,37,8,24,96,Yes
81,65,56,10,47,63,No
82,90,77,9,34,69,No
83,70,94,5,55,39,Yes
84,90,61,9,78,78,No
85,80,61,7,75,65,No
86,84,81,10,79,95,No
87,57,100,9,31,46,Yes
88,94,52,10,50,96,No
89,91,97,8,85,87,No
90,82,85,6,27,36,Yes
91,86,38,9,24,46,Yes
92,52,62,5,54,72,Yes
93,56,38,5,33,31,Yes
94,40,47,8,63,31,Yes
95,95,33,10,94,42,Yes
96,92,32,5,24,98,Yes
97,49,87,8,27,44,Yes
98,70,87,10,55,56,No
99,73,69,5,60,39,Yes
100,90,41,6,49,65,Yes
